Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",-26.000000,-27.000000,90.000000,top
"C2","10uF","C_0805_2012Metric",-26.000000,-22.050000,-90.000000,top
"C3","10uF","C_0805_2012Metric",-22.000000,-22.000000,-90.000000,top
"C4","10uF","C_0805_2012Metric",3.000000,-15.000000,-90.000000,top
"C5","0.1uF","C_0603_1608Metric",14.085000,-15.000000,-90.000000,top
"C6","0.1uF","C_0603_1608Metric",-4.000000,15.713950,90.000000,top
"C7","EEV107M010S9GAA","EEV107M010S9GAA",-10.000000,17.000000,0.000000,top
"D1","WS2812B_5050","WS2812_5050-4Pin",-10.000000,10.000000,180.000000,top
"IC1","TGS2611-C00","TGS2611C00",-8.200000,-25.000000,0.000000,top
"J2","Qwiic_Vertical","JST_SMD_1.0mm-4_Vertical_Black",-32.000000,-26.000000,180.000000,top
"J3","679305124022","679305124022",6.000000,-26.500000,180.000000,top
"J4","Qwiic_Vertical","JST_SMD_1.0mm-4_Vertical_Black",18.000000,-26.000000,180.000000,top
"J5","M20-7830542","M20-7830542",-40.000000,15.250000,0.000000,top
"J6","Qwiic_Vertical","JST_SMD_1.0mm-4_Vertical_Black",-46.000000,24.000000,180.000000,top
"J7","5013310607","5013310607",-10.000000,31.539800,0.000000,top
"J8","Qwiic_Vertical","JST_SMD_1.0mm-4_Vertical_Black",-4.000000,-9.000000,180.000000,top
"J9","Qwiic_Vertical","JST_SMD_1.0mm-4_Vertical_Black",26.000000,24.000000,180.000000,top
"JP1","~","Jumper_2_NO",-22.000000,-17.000000,0.000000,top
"JP2","~","Jumper_2_NO",-5.613600,-15.000000,90.000000,top
"JP3","~","Jumper_2_NO",-2.000000,-15.000000,90.000000,top
"Q1","BSS138","SOT-363",-34.303333,-17.000000,0.000000,top
"R1","10k","R_Array_Convex_4x0603",-39.326667,-17.000000,0.000000,top
"R2","10k","R_0603_1608Metric",-30.000000,-17.000000,90.000000,top
"R3","10k","R_0603_1608Metric",18.182500,-15.000000,90.000000,top
"R4","PT2512FK-070R1L","PT2512FK-070R1L",-12.000000,-15.000000,180.000000,top
"R5","10k","R_Array_Convex_4x0603",23.000000,-15.000000,0.000000,top
"R8","RC0603FR-07330RL","RC0603FR-07330RL",-5.000000,10.265000,90.000000,top
"S1","AB11AH-FC","AB11AHFC",10.000000,35.000000,180.000000,top
"U1","AP2112K-3.3","SOT-23-5",-45.000000,-17.000000,0.000000,top
"U2","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",-22.000000,-27.000000,0.000000,top
"U3","INA219BxDCN","SOT-23-8",8.667500,-15.075000,0.000000,top
