Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,86.275,-82.5,180.0,top
C2,10uF,C_0805_2012Metric,86.0,-75.0,90.0,top
C3,10uF,C_0805_2012Metric,86.0,-79.5,180.0,top
C4,10uF,C_0805_2012Metric,115.0,-51.5,0.0,bottom
C5,0.1uF,C_0603_1608Metric,112.5,-52.725,90.0,bottom
C6,0.1uF,C_0603_1608Metric,101.275,-74.0,0.0,top
C7,100UF,CP_Radial_D6.3mm_P2.50mm,101.0,-69.4125,0.0,top
C8,0.1uF,C_0603_1608Metric,100.0,-83.0,180.0,top
D1,WS2812B_5050,WS2812_5050-4Pin,92.0635,-58.8355,90.0,top
IC1,SR-6,tgs2611c00,91.0,-89.5,0.0,top
J1,GPIO,PinSocket_2x20_P2.54mm_Vertical,94.56,-46.25,90.0,bottom
J2,Qwiic_Vertical,JST_1x04_P1.0mm_Vertical_SMD,118.0,-36.0,0.0,top
J3,679305124022,679305124022,113.0,-96.5,180.0,top
J4,Qwiic_Vertical,JST_1x04_P1.0mm_Vertical_SMD,68.0,-36.0,0.0,top
J5,M20-7830542,M20-7830542,60.7975,-55.73,0.0,top
J6,Qwiic_Vertical,JST_1x04_P1.0mm_Vertical_SMD,92.5,-32.0,0.0,top
J7,5013310607,MOLEX_5013310607,80.5,-32.0,180.0,top
J8,Qwiic_4pin_Vertical,JST_1x04_P1.0mm_Vertical_SMD,118.0,-30.0,0.0,top
J9,Qwiic_Vertical,JST_1x04_P1.0mm_Vertical_SMD,68.0,-30.0,0.0,top
J11,10132328-10011LF,AMPHENOL_10132328-10011LF,92.1935,-68.9125,0.0,bottom
JP1,~,Jumper_2_NO,84.0,-90.5,-90.0,top
JP2,~,Jumper_2_NO,95.5,-75.5,90.0,top
JP3,~,Jumper_2_NO,93.0,-75.5,90.0,top
JP4,~,Jumper_2_NO,103.0,-90.5,-90.0,top
Q1,BSS138,SOT-363,83.0,-87.0,180.0,top
Q2,BSS138,SOT-363,103.0,-86.0,0.0,top
R1,10k,R_Array_Convex_4x0603,78.9,-86.9,0.0,top
R2,10k,R_Array_Convex_4x0603,89.6,-75.2,0.0,top
R3,2k,R_0603_1608Metric,98.0,-89.5,90.0,top
R4,0.1,R_0805_2012Metric,98.0,-86.0,90.0,top
R5,10k,R_Array_Convex_4x0603,99.0,-57.0,-90.0,top
R6,5.1k,RESC1607X60N,86.0,-54.0,-90.0,top
R7,5.1k,R_0603_1608Metric,88.5,-54.0,-90.0,top
R8,330,RESC1607X60N,98.5,-53.5,0.0,top
R9,10k,R_0603_1608Metric,81.5,-90.0,90.0,top
R10,10k,R_0603_1608Metric,100.529004,-89.96407,90.0,top
R11,3.3k,R_0402_1005Metric,101.0,-77.0,180.0,top
R12,3.3k,R_0402_1005Metric,101.0,-79.5,180.0,top
R13,10k,R_Array_Convex_4x0603,107.5,-86.0,0.0,top
S1,NK236,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,117.0,-19.5,180.0,top
U1,AP2112K-3.3,SOT-23-5,91.0,-79.5,-90.0,top
U2,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,99.975,-93.525,-90.0,top
U3,INA219BxDCN,SOT-23-8,95.5,-79.5,90.0,top
U5,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,82.525,-93.475,90.0,top
