Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,86.275,-82.5,180.0,top
C2,10uF,C_0805_2012Metric,86.0,-75.0,90.0,top
C3,10uF,C_0805_2012Metric,86.0,-79.5,180.0,top
C4,10uF,C_0805_2012Metric,115.0,-51.5,0.0,bottom
C5,0.1uF,C_0603_1608Metric,112.5,-51.5,90.0,bottom
C6,0.1uF,C_0603_1608Metric,101.275,-74.0,0.0,top
C7,EEV107M010S9GAA,EEV107M010S9GAA,102.25,-69.5,0.0,top
C8,0.1uF,C_0603_1608Metric,100.0,-83.0,180.0,top
D1,WS2812B_5050,WS2812_5050-4Pin,92.0635,-58.8355,90.0,top
IC1,TGS2611-C00,tgs2611c00,91.0,-89.5,0.0,top
J1,GPIO,PinSocket_2x20_P2.54mm_Vertical,94.56,-46.25,90.0,bottom
J2,Qwiic_Vertical,JST_1x04_P1.0mm_Vertical_SMD,118.0,-36.164,0.0,top
J3,679305124022,679305124022,113.0,-96.5,180.0,top
J4,Qwiic_Vertical,JST_1x04_P1.0mm_Vertical_SMD,68.0,-36.0,0.0,top
J5,M20-7830542,M20-7830542,60.7975,-55.73,0.0,top
J6,Qwiic_Vertical,JST_1x04_P1.0mm_Vertical_SMD,92.5,-32.0,0.0,top
J7,5013310607,MOLEX_5013310607,80.5,-32.0,180.0,top
J8,Qwiic_4pin_Vertical,JST_1x04_P1.0mm_Vertical_SMD,118.0,-30.739,0.0,top
J9,Qwiic_Vertical,JST_1x04_P1.0mm_Vertical_SMD,68.0,-30.0,0.0,top
J10,640456-3,PinHeader_1x3_P2.54_Drill1.1mm,114.25,-72.25,270.0,bottom
J11,10132328-10011LF,AMPHENOL_10132328-10011LF,92.1935,-68.9125,0.0,bottom
JP1,~,Jumper_2_NO,84.0,-90.5,-90.0,top
JP2,~,Jumper_2_NO,95.0,-73.75,90.0,top
JP4,~,Jumper_2_NO,103.0,-90.5,-90.0,top
Q1,BSS138,SOT-363,83.0,-87.0,180.0,top
Q2,BSS138,SOT-363,103.0,-86.0,0.0,top
Q3,MOT2301B2,SOT23-3,125.6,-33.0,180.0,top
Q4,BSS138,SOT-363,72.5,-40.75,-90.0,top
R1,10k,R_Array_Convex_4x0603,78.9,-86.9,0.0,top
R2,100k,R_0603_1608Metric,127.406261,-36.212467,0.0,top
R3,1k,R_0603_1608Metric,98.0,-89.5,90.0,top
R5,10k,R_Array_Convex_4x0603,89.0,-51.5,-90.0,top
R6,RC0603FR-075K1L,RESC1607X60N,86.5,-59.0,-90.0,top
R7,5.1k,R_0603_1608Metric,88.5,-59.0,-90.0,top
R8,RC0603FR-07330RL,RESC1607X60N,87.5,-55.0,180.0,top
R9,10k,R_0603_1608Metric,81.5,-90.0,90.0,top
R10,10k,R_0603_1608Metric,100.529004,-89.96407,90.0,top
R13,10k,R_Array_Convex_4x0603,107.5,-86.0,0.0,top
R14,10k,R_0603_1608Metric,67.75,-40.5,0.0,top
R15,10k,R_0603_1608Metric,68.75,-42.0,180.0,top
R17,10k,R_0603_1608Metric,92.0,-74.25,0.0,top
R19,10k,R_0603_1608Metric,93.5,-82.5,-90.0,top
R20,10k,R_0603_1608Metric,106.75,-73.75,90.0,bottom
R21,10k,R_0603_1608Metric,107.75,-76.75,180.0,bottom
R22,10k,R_0603_1608Metric,108.5,-73.75,90.0,bottom
S2,EG1224,SW_EG1224,117.5875,-19.285,180.0,top
U1,AP2112K-3.3,SOT-23-5,91.0,-79.5,-90.0,top
U2,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,99.975,-93.525,-90.0,top
U3,ADS1115IDGST,DGS0010A_New,96.775,-78.520184,0.0,top
U5,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,82.525,-93.475,90.0,top
