,,,,,
,,,,,
Designator,Mid X,Mid Y,Layer,Rotation,Comments
C1,10.16,7.11,Top,270,0.1µF - 603
C2,8.38,7.11,Top,270,10uF - _0805MP
CONN3,22.3,10.16,Top,90,STEMMA_I2C_QT - JST_SH4
CONN4,1.96,6.48,Top,270,STEMMA_I2C_QT - JST_SH4
D1,1.02,11.18,Top,90,GREEN - CHIPLED_0603_NOOUTLINE
R1,18.87,16.29,Top,0,10K - 603
R5,12.7,11.18,Top,0,0.1/1% (PT2512FK-070R1L) - 2512
R6,16.51,6.99,Top,270,10K - RESPACK_4X0603
R7,4.32,11.05,Top,180,10K - _0603MP
U1,12.7,6.99,Top,180,INA219BIDCNT - SOT23-8
J3,6.223,16.383,Top,0,"TGS2611-C00 - TO180P920X780-4P - Methane, Natural Gas sensor from Figaro"
J2,11.113,1.504,Top,0,HARWIN_M20-9980346
